sort_order,metric,value
1,snapshot_date,2026-06-17
2,BUIDL.holders_raw,76
3,BUIDL.holders_effective_approx,51
4,BUIDL.aum_ethereum_usd,181293771.96
5,BUIDL.secondary_transfers,3151
6,BUIDL.secondary_share_pct,22.4
7,BUIDL.gini_reconstruction,0.863
8,BUIDL.gini_feasible_lower,0.85
9,BUIDL.gini_feasible_upper,0.885
10,BUIDL.top3_share,0.5522
11,BUIDL.top10_share,0.8302
12,BUIDL.top25_share,0.9954
13,OUSG.holders_raw,69
14,OUSG.aum_ethereum_usd,null
15,OUSG.secondary_transfers,851
16,OUSG.secondary_share_pct,40.2
17,bIB01.holders_raw,32
18,bIB01.token_supply_ethereum,40326.0
19,bIB01.secondary_transfers,492
20,bIB01.secondary_share_pct,96.5
21,bIB01.aum_ethereum_usd,null
